№,Ամսաթիվ,Կազմակերպություն,Գործարքի տեսակ, EUR , AMD ,,,,
1,1/8/2019,LUTEA,փոխառությունների ներգրավում," € 200,000.00 "," 110,912,000.00 ֏ ",,,,
2,1/9/2019,MINTOS,փոխառությունների ներգրավում," € 904,153.00 "," 502,410,753.00 ֏ ",,,,
3,1/11/2019,LUTEA,փոխառության մարում," € 900,000.00 "," 503,775,000.00 ֏ ",,,,
4,1/18/2019,MINTOS,փոխառության մարում," € 280,695.00 "," 155,331,519.00 ֏ ",,,,
5,1/23/2019,MINTOS,փոխառությունների ներգրավում," € 339,484.00 "," 187,028,910.00 ֏ ",,,,
6,1/23/2019,LUTEA,փոխառության մարում," € 330,000.00 "," 181,803,600.00 ֏ ",,,,
7,1/31/2019,MINTOS,փոխառությունների ներգրավում," € 167,592.00 "," 93,708,988.00 ֏ ",,,,
8,2/1/2019,LUTEA,փոխառության մարում," € 250,000.00 "," 139,667,500.00 ֏ ",,,,
9,2/6/2019,MINTOS,փոխառությունների ներգրավում," € 532,775.00 "," 296,239,156.00 ֏ ",,,,
10,2/7/2019,LUTEA,փոխառության մարում," € 530,000.00 "," 293,736,600.00 ֏ ",,,,
11,2/7/2019,LUTEA,փոխառության մարում," € 70,000.00 "," 38,795,400.00 ֏ ",,,,
12,2/14/2019,MINTOS,փոխառության մարում," € 86,895.00 "," 47,797,673.00 ֏ ",,,,
13,2/15/2019,FINCO,ձեռնարկատիրական փոխառության տրամադրում," € 40,175.00 "," 22,100,670.00 ֏ ",,,,
14,2/20/2019,LUTEA,Ձեռնարկատիրական Վարկի տրամադրում," € 350,000.00 "," 193,627,000.00 ֏ ",,,,
15,2/26/2019,MINTOS,փոխառությունների ներգրավում," € 784,296.00 "," 435,809,686.00 ֏ ",,,,
16,2/26/2019,LUTEA,Ձեռնարկատիրական Վարկի տրամադրում," € 150,000.00 "," 83,350,500.00 ֏ ",,,,
17,2/27/2019,LUTEA,Ձեռնարկատիրական Վարկի տրամադրում," € 500,000.00 "," 278,850,000.00 ֏ ",,,,
18,3/7/2019,MINTOS,փոխառության մարում," € 139,020.00 "," 76,885,348.00 ֏ ",,,,
19,3/13/2019,LUTEA,Ձեռնարկատիրական Վարկի տրամադրում," € 500,000.00 "," 275,280,000.00 ֏ ",,,,
20,3/13/2019,MINTOS,փոխառությունների ներգրավում," € 223,242.00 "," 122,908,140.00 ֏ ",,,,
21,3/20/2019,MINTOS,փոխառությունների ներգրավում," € 300,306.00 "," 165,607,122.00 ֏ ",,,,
22,3/20/2019,LUTEA,Ձեռնարկատիրական Վարկի տրամադրում," € 300,000.00 "," 165,438,000.00 ֏ ",,,,
23,3/26/2019,LUTEA,Ձեռնարկատիրական Վարկի տրամադրում," € 200,000.00 "," 110,026,000.00 ֏ ",,,,
24,3/28/2019,MINTOS,փոխառությունների ներգրավում," € 143,054.00 "," 78,299,351.00 ֏ ",,,,
25,4/2/2019,LUTEA,Ձեռնարկատիրական Վարկի տրամադրում," € 150,000.00 "," 81,748,500.00 ֏ ",,,,
26,4/3/2019,MINTOS,փոխառությունների ներգրավում," € 264,827.00 "," 144,995,387.00 ֏ ",,,,
27,4/4/2019,LUTEA,Ձեռնարկատիրական Վարկի տրամադրում," € 250,000.00 "," 136,770,000.00 ֏ ",,,,
28,4/23/2019,LUTEA,Վարկի մարում," € 160,000.00 "," 86,720,000.00 ֏ ",,,,
29,4/25/2019,LUTEA,Վարկի մարում," € 100,000.00 "," 53,623,000.00 ֏ ",,,,
30,4/29/2019,MINTOS,փոխառության մարում," € 43,218.00 "," 23,216,243.00 ֏ ",,,,
31,4/29/2019,LUTEA,Ձեռնարկատիրական Վարկի տրամադրում," € 100,000.00 "," 53,718,000.00 ֏ ",,,,
32,4/30/2019,MINTOS,փոխառությունների ներգրավում," € 206,105.00 "," 111,022,865.00 ֏ ",,,,
33,5/2/2019,LUTEA,Ձեռնարկատիրական Վարկի տրամադրում," € 100,000.00 "," 53,802,000.00 ֏ ",,,,
34,5/3/2019,LUTEA,Ձեռնարկատիրական Վարկի տրամադրում," € 100,000.00 "," 53,628,000.00 ֏ ",,,,
35,5/7/2019,LUTEA,Ձեռնարկատիրական Վարկի տրամադրում," € 200,000.00 "," 107,968,000.00 ֏ ",,,,
36,5/8/2019,LUTEA,Ձեռնարկատիրական Վարկի տրամադրում," € 150,000.00 "," 80,976,000.00 ֏ ",,,,
37,5/10/2019,MINTOS,փոխառության մարում," € 126,465.00 "," 68,495,957.00 ֏ ",,,,
38,5/13/2019,LUTEA,Ձեռնարկատիրական Վարկի տրամադրում," € 200,000.00 "," 108,194,000.00 ֏ ",,,,
39,5/15/2019,MINTOS,փոխառությունների ներգրավում," € 431,109.00 "," 232,035,920.00 ֏ ",,,,
40,5/21/2019,MINTOS,փոխառությունների ներգրավում," € 500,000.00 "," 267,400,000.00 ֏ ",,,,
41,5/22/2019,LUTEA,Ձեռնարկատիրական Վարկի տրամադրում," € 200,000.00 "," 107,132,000.00 ֏ ",,,,
42,5/22/2019,MINTOS,փոխառությունների ներգրավում," € 500,000.00 "," 267,830,000.00 ֏ ",,,,
43,5/23/2019,MINTOS,փոխառությունների ներգրավում," € 49,354.00 "," 26,378,070.00 ֏ ",,,,
44,5/31/2019,LUTEA,Վարկի մարում," € 225,000.00 "," 120,467,250.00 ֏ ",,,,
45,6/4/2019,LUTEA,Ձեռնարկատիրական Վարկի տրամադրում," € 100,000.00 "," 53,993,000.00 ֏ ",,,,
46,6/14/2019,MINTOS,փոխառության մարում," € 400,000.00 "," 215,624,000.00 ֏ ",,,,
47,6/18/2019,MINTOS,փոխառությունների ներգրավում," € 1,593,944.00 "," 851,724,131.00 ֏ ",,,,
48,,,,,,,,,
,,,," € 14,371,709.00 "," 7,866,851,239.00 ֏ ",,,,
